Participant ID,Location,"After teleporting, I remained aware of my position in the environment.","After teleporting, I remained aware of the direction I was facing.","After teleporting, I needed additional effort to reorient myself.",Movement between locations felt spatially continuous.,I was able to accurately estimate distances between locations while navigating.,I was able to accurately estimate the distance to my intended teleport destination.,I found this locomotion technique easy to learn.,I found this locomotion technique intuitive to use.
1,SITE1,5,6,2,6,4,5,6,6
2,SITE1,3,5,3,4,6,5,6,6
3,SITE1,5,5,2,2,2,2,6,6
4,SITE1,5,6,2,5,4,4,4,5
5,SITE1,4,5,3,5,3,4,6,5
6,SITE1,5,6,4,6,5,4,5,6
7,SITE1,6,6,2,4,3,4,6,6
8,SITE1,3,2,4,3,5,3,3,4
9,SITE1,5,6,2,3,6,5,6,5
10,SITE1,5,6,2,5,5,5,5,5
11,SITE1,5,6,2,5,2,5,6,6
12,SITE1,6,5,4,5,3,2,6,6
13,SITE1,5,4,2,4,5,4,5,5
14,SITE1,5,6,2,6,4,4,6,6
15,SITE1,5,5,5,5,5,5,6,6
16,SITE1,6,6,1,5,5,5,6,6
17,SITE1,5,5,2,2,6,5,6,6
18,SITE1,4,2,3,3,5,3,5,5
19,SITE1,6,6,5,5,5,5,6,6
20,SITE1,1,1,1,1,1,1,1,1
21,SITE1,6,6,1,6,6,6,6,6
22,SITE1,5,6,2,5,5,6,6,6
23,SITE1,4,2,3,4,4,3,3,2
24,SITE1,4,5,3,5,5,4,5,5
1,SITE2,5,6,2,6,4,4,6,6
2,SITE2,3,3,5,5,3,3,6,6
3,SITE2,6,5,2,5,4,5,5,5
4,SITE2,6,6,1,1,3,3,6,6
5,SITE2,6,6,2,6,6,5,6,6
6,SITE2,6,6,1,5,5,5,6,6
7,SITE2,1,1,6,2,4,4,5,5
8,SITE2,2,4,4,1,1,2,6,5
9,SITE2,6,6,1,6,6,6,6,2
10,SITE2,6,6,1,6,6,6,6,6
11,SITE2,6,6,1,6,6,6,6,6
12,SITE2,5,4,3,3,4,3,4,5
13,SITE2,2,2,1,6,5,5,5,6
14,SITE2,3,3,1,5,5,4,6,6
15,SITE2,6,6,1,6,5,6,6,6
16,SITE2,3,2,4,2,5,5,6,6
17,SITE2,4,4,3,5,4,6,6,6
18,SITE2,2,5,1,5,5,6,6,6
