ParticipantUID,Method,Distance,Trial,SourceFile,HoldTime,LandingOffset_x,LandingOffset_z,OutlierError,GroupMedianError,GroupIQR,UpperFence,MatchingRepetitionCount,PeerError1,PeerError2,PeerMedianError,PeerErrorRange,OutlierToPeerMedianRatio,BothPeersWithinGroupFence,PeersSimilarAtGroupIQRScale,SupportsIsolatedFailure,VeryStrongIsolatedPattern,Interpretation,RawLogPath,AimSourceRow,TeleportSourceRow,AppearSourceRow,RawSequenceVerified,ProcessedErrorMatchesRaw,TargetConsistentTeleportToAppear,PHPosAvailable,PHPosToLandingDistance,SelectedPointMatchesLanding,DirectSelectionEvidence,ErrorFractionOfNominalDistance,LargeProtocolDeviation25Percent,ProcessedHoldTime,RawAimToTeleportTime,HoldTimeMatchesRaw,RapidConfirmThresholdSeconds,VeryLowAimToTeleportTime,RecommendedExclude,DecisionReason,RepeatedGrossDeviationCount,RepeatedFailureGroup,RepeatedFailureTrialExclude
SITE1_P11,tsunami,200,9,P11_precision_tsunami_4.csv,1.67,15.399999999999999,-1,15.432,3.454,4.4595,13.39575,2,1.217,3.189,2.2030000000000003,1.972,7.004993191103041,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P11/P11_precision_tsunami_4.csv,27,28,29,true,true,true,true,0,true,true,0.0771621668954417,false,1.67,1.67,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE1_P11,tsunami,50,7,P11_precision_tsunami_4.csv,1.398,12.5,-1,12.54,2.309,2.9699999999999998,8.43,2,2.102,3.65,2.876,1.548,4.360222531293463,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P11/P11_precision_tsunami_4.csv,21,22,23,true,true,true,true,0,true,true,0.25079872407968906,true,1.398,1.398,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE1_P13,baseline,50,4,P13_precision_baseline_4.csv,0.763,-97.5,2,97.521,1.7,2.0340000000000003,6.0875,2,3.13,3.231,3.1805,0.10099999999999998,30.66216003772992,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P13/P13_precision_baseline_4.csv,12,13,14,true,true,true,false,nan,false,true,1.9504102132628407,true,0.763,0.763,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE1_P13,tsunami,200,9,P13_precision_tsunami_8.csv,2.576,-27.700000000000003,0.5,27.705,3.454,4.4595,13.39575,2,3.202,4.785,3.9935,1.5830000000000002,6.937523475647927,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P13/P13_precision_tsunami_8.csv,27,28,29,true,true,true,true,0,true,true,0.13852256133929955,false,2.576,2.576,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE1_P13,tsunami,100,8,P13_precision_tsunami_8.csv,2.625,-14.099999999999998,0.5,14.109,2.717,3.7375,10.768249999999998,2,4.31,5.701,5.0055,1.391,2.818699430626311,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P13/P13_precision_tsunami_8.csv,24,25,26,true,true,true,true,0,true,true,0.141088624630053,false,2.625,2.625,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P13,baseline,100,5,P13_precision_baseline_4.csv,1.598,11.500000000000004,-1.5,11.597,2.72,2.4644999999999997,7.8942499999999995,2,2.693,11.377,7.035,8.684000000000001,1.6484719260838663,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P13/P13_precision_baseline_4.csv,15,16,17,true,true,true,false,nan,false,true,0.11597413504743205,false,1.598,1.598,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P13,baseline,100,8,P13_precision_baseline_4.csv,1.403,11.2,-2,11.377,2.72,2.4644999999999997,7.8942499999999995,2,2.693,11.597,7.145,8.904,1.592302309307208,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P13/P13_precision_baseline_4.csv,24,25,26,true,true,true,false,nan,false,true,0.11377170122662314,false,1.403,1.403,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P13,tsunami,50,4,P13_precision_tsunami_8.csv,1.768,-10.100000000000009,-0.2,10.102,2.309,2.9699999999999998,8.43,2,1.53,6.129,3.8295,4.598999999999999,2.6379422901162033,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P13/P13_precision_tsunami_8.csv,12,13,14,true,true,true,true,0,true,true,0.2020396000787966,false,1.768,1.768,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P16,map,200,3,P16_precision_map_4.csv,1.528,15.899999999999999,9.2,18.37,4.159,4.4174999999999995,13.627249999999998,2,4.73,11.711,8.220500000000001,6.981,2.234657259290797,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P16/P16_precision_map_4.csv,10,11,12,true,true,true,true,0,true,true,0.091849060964171,false,1.528,1.528,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P16,tsunami,200,3,P16_precision_tsunami_0.csv,2.698,-17,-2,17.117,3.454,4.4595,13.39575,2,6.264,14.009,10.1365,7.745,1.6886499284762986,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P16/P16_precision_tsunami_0.csv,9,10,11,true,true,true,true,0,true,true,0.08558621384311844,false,2.698,2.698,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P16,tsunami,200,6,P16_precision_tsunami_0.csv,2.645,-14,-0.5,14.009,3.454,4.4595,13.39575,2,6.264,17.117,11.6905,10.853000000000002,1.1983234250032078,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P16/P16_precision_tsunami_0.csv,18,19,20,true,true,true,true,0,true,true,0.07004462863060949,false,2.645,2.645,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P18,baseline,200,6,P18_precision_baseline_8.csv,3.667,17.699999999999996,3.9,18.125,5.036,4.6995000000000005,14.681750000000001,2,11.625,14.004,12.814499999999999,2.3789999999999996,1.414413359865777,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P18/P18_precision_baseline_8.csv,18,19,20,true,true,true,false,nan,false,true,0.09062284480195926,false,3.667,3.667,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
