ParticipantUID,ParticipantID,Location,Method,Route,MethodOrder,Run,CheckpointIndex,SourceFile,FirstAimSourceRow,FirstTeleportSourceRow,FirstAppearSourceRow,FinalAppearSourceRow,ProgressBannerSourceRow,FirstAimTimestamp,FirstTeleportTimestamp,FirstAppearTimestamp,FinalAppearTimestamp,ProgressBannerTimestamp,StartPos_x,StartPos_y,StartPos_z,TargetPos_x,TargetPos_y,TargetPos_z,FirstLandingPos_x,FirstLandingPos_y,FirstLandingPos_z,FinalLandingPos_x,FinalLandingPos_y,FinalLandingPos_z,InitialTargetDistance2D,InitialTargetDistance3D,FirstTeleportDistance2D,FirstTeleportDistance3D,FirstLandingError2D,FirstLandingError3D,FinalLandingError2D,FinalLandingError3D,DirectHit,CorrectionCount,TeleportCountToCheckpoint,AllCorrectionsUnder100m,ContainsCorrectionAtLeast100m,TotalCorrectionDistance2D,TotalCorrectionDistance3D,MaxCorrectionDistance2D,MaxCorrectionDistance3D,FirstCorrectionLatency,TotalEpisodeTime,BannerDelayTime,TeleportActionSequence,TeleportSourceRows,AppearSourceRows,CorrectionDistances2D,CorrectionDistances3D,DistanceBand100m,DistanceBandBalanced,EpisodeStatus
SITE1_P01,P01,SITE1,map,A,2,7,1,P01_race_map_A_7.csv,3,4,5,5,6,10:11:17.934,10:11:21.058,10:11:21.058,10:11:21.058,10:11:23.159,1364.400000,-136.900000,-2182.400000,1036.100000,-125.400000,-1926.600000,1033.800000,-123.700000,-1927.500000,1033.800000,-123.700000,-1927.500000,416.190497,416.349349,417.457028,417.662519,2.469818,2.998333,2.469818,2.998333,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.124000,2.101000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,2,P01_race_map_A_7.csv,7,8,9,9,10,10:11:23.786,10:11:28.669,10:11:28.669,10:11:28.669,10:11:30.342,1033.700000,-123.800000,-1927.500000,660.800000,-122.800000,-2101.300000,658.000000,-121.100000,-2102.300000,658.000000,-121.100000,-2102.300000,411.413235,411.414450,414.373660,414.382456,2.973214,3.424909,2.973214,3.424909,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.883000,1.673000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,3,P01_race_map_A_7.csv,11,12,13,13,14,10:11:31.423,10:11:34.736,10:11:34.736,10:11:34.736,10:11:39.444,658.000000,-121.100000,-2102.300000,193.000000,-120.500000,-2075.600000,193.200000,-118.700000,-2076.200000,193.200000,-118.700000,-2076.200000,465.765918,465.766304,464.892525,464.899796,0.632456,1.907878,0.632456,1.907878,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.313000,4.708000,teleport_map,12,13,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,4,P01_race_map_A_7.csv,15,16,17,17,18,10:11:40.874,10:11:47.670,10:11:47.670,10:11:47.670,10:11:49.507,193.200000,-118.800000,-2076.100000,207.800000,-130.500000,-1742.200000,206.200000,-128.800000,-1742.300000,206.200000,-128.800000,-1742.300000,334.219045,334.423773,334.053050,334.205700,1.603122,2.336664,1.603122,2.336664,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,6.796000,1.837000,teleport_map,16,17,,,300-400,200-350,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,5,P01_race_map_A_7.csv,19,20,21,21,22,10:11:50.886,10:11:56.658,10:11:56.658,10:11:56.658,10:11:57.965,206.100000,-128.900000,-1742.300000,-221.000000,-110.700000,-1770.000000,-223.400000,-109.000000,-1769.600000,-223.400000,-109.000000,-1769.600000,427.997313,428.384103,430.266952,430.722289,2.433105,2.968164,2.433105,2.968164,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.772000,1.307000,teleport_map,20,21,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,6,P01_race_map_A_7.csv,23,24,25,25,26,10:11:59.286,10:12:01.383,10:12:01.383,10:12:01.383,10:12:03.405,-223.300000,-109.100000,-1769.500000,-640.700000,-108.700000,-1512.100000,-640.500000,-107.000000,-1515.100000,-640.500000,-107.000000,-1515.100000,490.385073,490.385236,488.646293,488.650806,3.006659,3.453983,3.006659,3.453983,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.097000,2.022000,teleport_map,24,25,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,1,P01_race_map_B_5.csv,3,4,5,5,6,10:09:11.445,10:09:14.236,10:09:14.236,10:09:14.236,10:09:18.779,-1587.600000,-148.200000,1834.300000,-1824.000000,-155.900000,2254.000000,-1823.400000,-154.200000,2251.600000,-1823.400000,-154.200000,2251.600000,481.698090,481.759629,476.120457,476.158262,2.473863,3.001666,2.473863,3.001666,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.791000,4.543000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,2,P01_race_map_B_5.csv,7,8,9,9,10,10:09:20.157,10:09:25.840,10:09:25.840,10:09:25.840,10:09:29.040,-1823.600000,-154.200000,2251.400000,-2183.500000,-156.800000,1969.600000,-2183.900000,-155.000000,1970.500000,-2183.900000,-155.000000,1970.500000,457.098731,457.106126,456.859825,456.860712,0.984886,2.051828,0.984886,2.051828,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.683000,3.200000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,3,P01_race_map_B_5.csv,11,12,13,13,14,10:09:30.441,10:09:34.008,10:09:34.008,10:09:34.008,10:09:35.357,-2183.900000,-155.100000,1970.600000,-2489.500000,-157.100000,2081.700000,-2491.700000,-155.300000,2084.500000,-2491.700000,-155.300000,2084.500000,325.168526,325.174676,328.198187,328.198248,3.560899,3.989987,3.560899,3.989987,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.567000,1.349000,teleport_map,12,13,,,300-400,200-350,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,4,P01_race_map_B_5.csv,15,16,17,17,18,10:09:36.441,10:09:40.085,10:09:40.085,10:09:40.085,10:09:42.179,-2491.600000,-155.300000,2084.600000,-2630.000000,-156.100000,2448.000000,-2628.100000,-154.400000,2448.700000,-2628.100000,-154.400000,2448.700000,388.862598,388.863421,388.904358,388.905400,2.024846,2.643861,2.024846,2.643861,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.644000,2.094000,teleport_map,16,17,,,300-400,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,5,P01_race_map_B_5.csv,19,20,21,21,22,10:09:43.828,10:09:47.223,10:09:47.223,10:09:47.223,10:09:48.619,-2628.100000,-154.400000,2448.700000,-2978.700000,-155.900000,2306.500000,-2980.600000,-154.200000,2302.600000,-2980.600000,-154.200000,2302.600000,378.340059,378.343032,381.577594,381.577646,4.338202,4.659399,4.338202,4.659399,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.395000,1.396000,teleport_map,20,21,,,300-400,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,6,P01_race_map_B_5.csv,23,24,25,25,26,10:09:50.423,10:09:54.803,10:09:54.803,10:09:54.803,10:09:57.078,-2980.700000,-154.200000,2302.400000,-2999.000000,-156.000000,1931.000000,-3002.500000,-154.200000,1929.200000,-3002.500000,-154.200000,1929.200000,371.850575,371.854931,373.836167,373.836167,3.935734,4.327817,3.935734,4.327817,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.380000,2.275000,teleport_map,24,25,,,300-400,351-500,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,1,P01_race_map_C_6.csv,3,4,5,5,6,10:10:15.957,10:10:18.783,10:10:18.783,10:10:18.783,10:10:20.292,-2003.500000,-141.900000,179.400000,-2299.700000,-147.700000,56.800000,-2296.800000,-146.300000,52.500000,-2296.800000,-146.300000,52.500000,320.570117,320.622582,319.667280,319.697560,5.186521,5.372150,5.186521,5.372150,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.826000,1.509000,teleport_map,4,5,,,300-400,200-350,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,2,P01_race_map_C_6.csv,7,8,9,9,10,10:10:21.157,10:10:26.112,10:10:26.112,10:10:26.112,10:10:29.270,-2296.900000,-146.400000,52.400000,-2303.900000,-147.000000,-387.200000,-2306.400000,-145.300000,-388.900000,-2306.400000,-145.300000,-388.900000,439.655729,439.656138,441.402243,441.403376,3.023243,3.468429,3.023243,3.468429,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.955000,3.158000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,3,P01_race_map_C_6.csv,11,12,13,13,14,10:10:30.806,10:10:35.294,10:10:35.294,10:10:35.294,10:10:38.226,-2306.200000,-145.400000,-388.800000,-1943.900000,-143.600000,-367.100000,-1944.500000,-142.000000,-368.600000,-1944.500000,-142.000000,-368.600000,362.949280,362.953744,359.600584,359.614822,1.615549,2.273763,1.615549,2.273763,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.488000,2.932000,teleport_map,12,13,,,300-400,351-500,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,4,P01_race_map_C_6.csv,15,16,17,17,18,10:10:39.315,10:10:44.804,10:10:44.804,10:10:44.804,10:10:47.032,-1944.300000,-142.100000,-368.800000,-2025.000000,-148.600000,-798.000000,-2026.300000,-146.900000,-799.100000,-2026.300000,-146.900000,-799.100000,436.720883,436.769253,438.024771,438.052177,1.702939,2.406242,1.702939,2.406242,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.489000,2.228000,teleport_map,16,17,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,5,P01_race_map_C_6.csv,19,20,21,21,22,10:10:48.292,10:10:51.398,10:10:51.398,10:10:51.398,10:10:53.982,-2026.200000,-147.000000,-799.300000,-1819.400000,-140.800000,-1190.000000,-1823.200000,-139.200000,-1188.500000,-1823.200000,-139.200000,-1188.500000,442.055121,442.098598,439.002164,439.069687,4.085340,4.387482,4.085340,4.387482,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.106000,2.584000,teleport_map,20,21,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,C,2,6,6,P01_race_map_C_6.csv,23,24,25,25,26,10:10:54.942,10:11:00.781,10:11:00.781,10:11:00.781,10:11:04.341,-1823.200000,-139.300000,-1188.400000,-1375.200000,-127.000000,-1014.300000,-1373.300000,-125.300000,-1015.000000,-1373.300000,-125.300000,-1015.000000,480.640000,480.797359,484.725923,484.916673,2.024846,2.643861,2.024846,2.643861,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.839000,3.560000,teleport_map,24,25,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,tsunami,A,3,10,1,P01_race_tsunami_A_10.csv,3,4,5,5,6,10:18:13.163,10:18:16.062,10:18:16.062,10:18:16.062,10:18:17.505,1364.300000,-136.900000,-2182.300000,1036.100000,-125.400000,-1926.600000,1039.600000,-123.800000,-1928.800000,1039.600000,-123.800000,-1928.800000,416.050153,416.209058,411.937301,412.145545,4.134005,4.432832,4.134005,4.432832,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.899000,1.443000,teleport_tsunami,4,5,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,tsunami,A,3,10,2,P01_race_tsunami_A_10.csv,7,8,9,12,13,10:18:18.502,10:18:20.618,10:18:20.618,10:18:22.223,10:18:24.306,1039.600000,-123.800000,-1928.900000,660.800000,-122.800000,-2101.300000,675.600000,-120.800000,-2107.400000,663.400000,-121.100000,-2103.300000,416.186497,416.187698,405.411211,405.422311,16.007811,16.132266,3.280244,3.694591,false,1,2,true,false,12.839003,12.842508,12.839003,12.842508,0.746000,3.721000,2.083000,teleport_tsunami|teleport_tsunami,8|11,9|12,12.839003,12.842508,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,A,3,10,3,P01_race_tsunami_A_10.csv,14,15,16,16,17,10:18:24.898,10:18:26.706,10:18:26.706,10:18:26.706,10:18:28.457,663.400000,-121.000000,-2103.400000,193.000000,-120.500000,-2075.600000,198.700000,-118.700000,-2081.500000,198.700000,-118.700000,-2081.500000,471.220755,471.221020,465.215756,465.221442,8.203658,8.398809,8.203658,8.398809,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,1.808000,1.751000,teleport_tsunami,15,16,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,tsunami,A,3,10,4,P01_race_tsunami_A_10.csv,18,19,20,23,24,10:18:29.225,10:18:32.915,10:18:32.915,10:18:34.901,10:18:37.812,198.600000,-118.700000,-2081.300000,207.800000,-130.500000,-1742.200000,209.100000,-128.900000,-1734.600000,209.100000,-128.900000,-1740.200000,339.224778,339.429949,346.858963,347.008905,7.710383,7.874643,2.385372,2.872281,false,1,2,true,false,5.300000,5.300000,5.300000,5.300000,0.727000,5.676000,2.911000,teleport_tsunami|teleport_tsunami,19|22,20|23,5.300000,5.300000,300-400,200-350,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,A,3,10,5,P01_race_tsunami_A_10.csv,25,26,27,30,31,10:18:38.533,10:18:41.684,10:18:41.685,10:18:43.097,10:18:44.866,208.800000,-128.900000,-1740.100000,-221.000000,-110.700000,-1770.000000,-209.500000,-109.600000,-1767.100000,-219.600000,-109.100000,-1770.700000,430.838775,431.223017,419.170478,419.614561,11.860017,11.910919,1.565248,2.238303,false,1,2,true,false,10.722406,10.734058,10.722406,10.734058,0.474000,4.564000,1.769000,teleport_tsunami|teleport_tsunami,26|29,27|30,10.722406,10.734058,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,A,3,10,6,P01_race_tsunami_A_10.csv,32,33,34,37,38,10:18:45.901,10:18:47.684,10:18:47.684,10:18:49.565,10:18:50.666,-219.600000,-109.100000,-1770.600000,-640.700000,-108.700000,-1512.100000,-623.400000,-106.900000,-1525.500000,-639.200000,-107.000000,-1514.800000,494.112801,494.112963,472.364743,472.369866,21.882642,21.956548,3.088689,3.525621,false,1,2,true,false,19.082191,19.082453,19.082191,19.082453,0.620000,3.664000,1.101000,teleport_tsunami|teleport_tsunami,33|36,34|37,19.082191,19.082453,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,1,P01_race_tsunami_B_11.csv,3,4,5,8,9,10:19:07.712,10:19:10.002,10:19:10.003,10:19:11.241,10:19:12.400,-1587.600000,-148.100000,1834.200000,-1824.000000,-155.900000,2254.000000,-1821.400000,-154.000000,2240.000000,-1823.400000,-154.200000,2251.600000,481.785222,481.848358,468.333300,468.370462,14.239382,14.365584,2.473863,3.001666,false,1,2,true,false,11.771151,11.772850,11.771151,11.772850,0.445000,3.529000,1.159000,teleport_tsunami|teleport_tsunami,4|7,5|8,11.771151,11.772850,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,2,P01_race_tsunami_B_11.csv,10,11,12,15,16,10:19:13.203,10:19:15.286,10:19:15.286,10:19:16.439,10:19:17.851,-1823.500000,-154.200000,2251.500000,-2183.500000,-156.800000,1969.600000,-2169.600000,-154.900000,1978.200000,-2182.800000,-155.100000,1968.700000,457.239117,457.246509,440.996712,440.997268,16.345336,16.455394,1.140175,2.046949,false,1,2,true,false,16.344418,16.345642,16.344418,16.345642,0.448000,3.236000,1.412000,teleport_tsunami|teleport_tsunami,11|14,12|15,16.344418,16.345642,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,3,P01_race_tsunami_B_11.csv,18,19,20,23,24,10:19:20.841,10:19:22.455,10:19:22.455,10:19:23.524,10:19:25.568,-2182.900000,-155.100000,1968.800000,-2489.500000,-157.100000,2081.700000,-2479.700000,-155.400000,2078.700000,-2487.200000,-155.400000,2080.400000,326.726139,326.732260,316.493681,316.493823,10.248902,10.388936,2.641969,3.141656,false,1,2,true,false,7.690254,7.690254,7.690254,7.690254,0.550000,2.683000,2.044000,teleport_tsunami|teleport_tsunami,19|22,20|23,7.690254,7.690254,300-400,200-350,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,4,P01_race_tsunami_B_11.csv,25,26,27,30,31,10:19:26.484,10:19:28.014,10:19:28.014,10:19:29.381,10:19:30.669,-2487.200000,-155.400000,2080.500000,-2630.000000,-156.100000,2448.000000,-2621.200000,-154.400000,2422.900000,-2630.100000,-154.500000,2448.500000,394.269058,394.269679,367.687041,367.688401,26.597932,26.652204,0.509902,1.679286,false,1,2,true,false,27.102952,27.103136,27.102952,27.103136,0.410000,2.897000,1.288000,teleport_tsunami|teleport_tsunami,26|29,27|30,27.102952,27.103136,300-400,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,5,P01_race_tsunami_B_11.csv,32,33,34,37,38,10:19:31.967,10:19:33.548,10:19:33.548,10:19:35.066,10:19:37.147,-2630.100000,-154.400000,2448.300000,-2978.700000,-155.900000,2306.500000,-2934.800000,-153.500000,2303.100000,-2981.400000,-154.300000,2305.600000,376.336552,376.339541,337.527969,337.529169,44.031466,44.096825,2.846050,3.264966,false,1,2,true,false,46.667012,46.672262,46.667012,46.672262,0.573000,3.099000,2.081000,teleport_tsunami|teleport_tsunami,33|36,34|37,46.667012,46.672262,300-400,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,B,3,11,6,P01_race_tsunami_B_11.csv,39,40,41,44,45,10:19:37.736,10:19:39.538,10:19:39.538,10:19:40.768,10:19:41.643,-2981.300000,-154.200000,2305.500000,-2999.000000,-156.000000,1931.000000,-2999.600000,-154.100000,1944.200000,-2998.400000,-154.300000,1932.400000,374.918044,374.922365,361.763155,361.763168,13.213629,13.349532,1.523155,2.282542,false,1,2,true,false,11.851160,11.851582,11.851160,11.851582,0.510000,3.032000,0.875000,teleport_tsunami|teleport_tsunami,40|43,41|44,11.851160,11.851582,300-400,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,C,3,9,1,P01_race_tsunami_C_9.csv,3,4,5,8,9,10:17:15.804,10:17:17.940,10:17:17.940,10:17:20.777,10:17:22.736,-2003.400000,-141.800000,179.600000,-2299.700000,-147.700000,56.800000,-2317.100000,-145.900000,47.500000,-2301.400000,-146.000000,54.800000,320.739037,320.793298,340.379347,340.404039,19.729420,19.811360,2.624881,3.127299,false,1,2,true,false,17.007351,17.007351,17.007351,17.007351,1.405000,4.973000,1.959000,teleport_tsunami|teleport_tsunami,4|7,5|8,17.007351,17.007351,300-400,200-350,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,C,3,9,2,P01_race_tsunami_C_9.csv,10,11,12,12,13,10:17:24.615,10:17:26.367,10:17:26.367,10:17:26.367,10:17:28.102,-2301.300000,-145.900000,54.600000,-2303.900000,-147.000000,-387.200000,-2303.900000,-145.300000,-388.200000,-2303.900000,-145.300000,-388.200000,441.807650,441.809020,442.807633,442.808040,1.000000,1.972308,1.000000,1.972308,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,1.752000,1.735000,teleport_tsunami,11,12,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,tsunami,C,3,9,3,P01_race_tsunami_C_9.csv,14,15,16,19,20,10:17:29.435,10:17:31.608,10:17:31.608,10:17:34.239,10:17:36.214,-2303.800000,-145.300000,-388.200000,-1943.900000,-143.600000,-367.100000,-1921.400000,-141.400000,-364.800000,-1948.000000,-142.200000,-369.000000,360.517988,360.521997,383.115283,383.135133,22.617250,22.723996,4.518849,4.730750,false,1,2,true,false,26.686513,26.698502,26.686513,26.698502,1.113000,4.804000,1.975000,teleport_tsunami|teleport_tsunami,15|18,16|19,26.686513,26.698502,300-400,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,C,3,9,4,P01_race_tsunami_C_9.csv,21,22,23,26,27,10:17:37.444,10:17:39.325,10:17:39.325,10:17:40.982,10:17:42.445,-1947.800000,-142.100000,-369.000000,-2025.000000,-148.600000,-798.000000,-2019.500000,-147.100000,-779.400000,-2024.100000,-146.900000,-799.700000,435.890858,435.939319,416.616190,416.646193,19.396134,19.454048,1.923538,2.567100,false,1,2,true,false,20.814658,20.816820,20.814658,20.816820,0.625000,3.538000,1.463000,teleport_tsunami|teleport_tsunami,22|25,23|26,20.814658,20.816820,400-500,351-500,short_corrections_only
SITE1_P01,P01,SITE1,tsunami,C,3,9,5,P01_race_tsunami_C_9.csv,28,29,30,33,34,10:17:43.518,10:17:45.918,10:17:45.918,10:17:48.733,10:17:50.513,-2024.000000,-146.900000,-799.700000,-1819.400000,-140.800000,-1190.000000,-1964.700000,-142.700000,-920.600000,-1821.100000,-139.200000,-1187.700000,440.675901,440.718119,134.659942,134.725424,306.085691,306.091588,2.860070,3.277194,false,1,2,false,true,303.254629,303.274826,303.254629,303.274826,0.527000,5.215000,1.780000,teleport_tsunami|teleport_tsunami,29|32,30|33,303.254629,303.274826,400-500,351-500,contains_correction_at_least_100m
SITE1_P01,P01,SITE1,tsunami,C,3,9,6,P01_race_tsunami_C_9.csv,37,38,39,42,43,10:17:56.729,10:17:58.427,10:17:58.427,10:18:00.069,10:18:02.607,-1821.000000,-139.200000,-1187.600000,-1375.200000,-127.000000,-1014.300000,-1377.200000,-125.300000,-1007.600000,-1374.900000,-125.400000,-1013.800000,478.299624,478.455191,478.913813,479.115487,6.992138,7.195832,0.583095,1.702939,false,1,2,true,false,6.555151,6.555913,6.555151,6.555913,0.860000,3.340000,2.538000,teleport_tsunami|teleport_tsunami,38|41,39|42,6.555151,6.555913,400-500,351-500,short_corrections_only
SITE1_P02,P02,SITE1,map,A,2,6,1,P02_race_map_A_6.csv,3,4,5,5,6,10:16:38.022,10:16:41.380,10:16:41.380,10:16:41.380,10:16:44.058,1364.300000,-136.900000,-2182.400000,1036.100000,-125.400000,-1926.600000,1037.500000,-123.900000,-1928.500000,1037.500000,-123.900000,-1928.500000,416.111620,416.270501,413.901244,414.102222,2.360085,2.796426,2.360085,2.796426,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.358000,2.678000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,A,2,6,2,P02_race_map_A_6.csv,7,8,9,9,10,10:16:45.669,10:16:50.164,10:16:50.164,10:16:50.164,10:16:51.954,1037.600000,-124.000000,-1928.500000,660.800000,-122.800000,-2101.300000,664.000000,-121.200000,-2102.800000,664.000000,-121.200000,-2102.800000,414.533569,414.535306,412.391865,412.400703,3.534119,3.879433,3.534119,3.879433,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.495000,1.790000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,A,2,6,3,P02_race_map_A_6.csv,11,12,13,13,14,10:16:53.610,10:16:57.341,10:16:57.342,10:16:57.342,10:16:58.901,663.800000,-121.300000,-2102.900000,193.000000,-120.500000,-2075.600000,194.900000,-119.100000,-2075.300000,194.900000,-119.100000,-2075.300000,471.590850,471.591529,469.711582,469.716734,1.923538,2.379075,1.923538,2.379075,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.732000,1.559000,teleport_map,12,13,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,A,2,6,4,P02_race_map_A_6.csv,15,16,17,17,18,10:17:00.585,10:17:03.722,10:17:03.722,10:17:03.722,10:17:05.457,194.900000,-119.100000,-2075.200000,207.800000,-130.500000,-1742.200000,209.500000,-129.100000,-1742.700000,209.500000,-129.100000,-1742.700000,333.249771,333.444703,332.820387,332.970584,1.772005,2.258318,1.772005,2.258318,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.137000,1.735000,teleport_map,16,17,,,300-400,200-350,direct_hit
SITE1_P02,P02,SITE1,map,A,2,6,5,P02_race_map_A_6.csv,19,20,21,21,22,10:17:07.891,10:17:12.392,10:17:12.392,10:17:12.392,10:17:16.146,209.600000,-129.100000,-1742.800000,-221.000000,-110.700000,-1770.000000,-217.900000,-109.300000,-1770.000000,-217.900000,-109.300000,-1770.000000,431.458225,431.850391,425.882331,426.333109,3.100000,3.401470,3.100000,3.401470,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.501000,3.754000,teleport_map,20,21,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,A,2,6,6,P02_race_map_A_6.csv,23,24,25,25,26,10:17:17.313,10:17:21.270,10:17:21.270,10:17:21.270,10:17:22.567,-218.000000,-109.400000,-1770.000000,-640.700000,-108.700000,-1512.100000,-639.500000,-107.200000,-1514.900000,-639.500000,-107.200000,-1514.900000,495.164316,495.164811,492.770301,492.775212,3.046309,3.395585,3.046309,3.395585,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.957000,1.297000,teleport_map,24,25,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,B,2,7,1,P02_race_map_B_7.csv,3,4,5,5,6,10:17:39.925,10:17:42.864,10:17:42.864,10:17:42.864,10:17:45.067,-1587.600000,-148.200000,1834.300000,-1824.000000,-155.900000,2254.000000,-1822.600000,-154.500000,2255.300000,-1822.600000,-154.500000,2255.300000,481.698090,481.759629,482.283340,482.324486,1.910497,2.368544,1.910497,2.368544,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.939000,2.203000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,B,2,7,2,P02_race_map_B_7.csv,7,8,9,9,10,10:17:47.298,10:17:51.838,10:17:51.838,10:17:51.838,10:17:53.378,-1822.600000,-154.500000,2255.300000,-2183.500000,-156.800000,1969.600000,-2182.200000,-155.300000,1967.200000,-2182.200000,-155.300000,1967.200000,460.296969,460.302716,460.775184,460.775878,2.729469,3.114482,2.729469,3.114482,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.540000,1.540000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P02,P02,SITE1,map,B,2,7,3,P02_race_map_B_7.csv,11,12,13,13,14,10:17:54.914,10:17:57.926,10:17:57.926,10:17:57.926,10:17:59.361,-2182.300000,-155.300000,1967.200000,-2489.500000,-157.100000,2081.700000,-2489.700000,-155.600000,2081.600000,-2489.700000,-155.600000,2081.600000,327.844613,327.849554,328.056001,328.056138,0.223607,1.516575,0.223607,1.516575,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.012000,1.435000,teleport_map,12,13,,,300-400,200-350,direct_hit
SITE1_P02,P02,SITE1,map,B,2,7,4,P02_race_map_B_7.csv,15,16,17,17,18,10:18:00.411,10:18:03.269,10:18:03.269,10:18:03.269,10:18:04.842,-2489.600000,-155.600000,2081.700000,-2630.000000,-156.100000,2448.000000,-2629.000000,-154.600000,2446.500000,-2629.000000,-154.600000,2446.500000,392.285419,392.285738,390.584818,390.585855,1.802776,2.345208,1.802776,2.345208,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.858000,1.573000,teleport_map,16,17,,,300-400,351-500,direct_hit
SITE1_P02,P02,SITE1,map,B,2,7,5,P02_race_map_B_7.csv,19,20,21,21,22,10:18:05.263,10:18:09.938,10:18:09.938,10:18:09.938,10:18:11.198,-2629.000000,-154.700000,2446.400000,-2978.700000,-155.900000,2306.500000,-2976.100000,-154.400000,2308.100000,-2976.100000,-154.400000,2308.100000,376.645855,376.647766,373.637926,373.637980,3.052868,3.401470,3.052868,3.401470,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.675000,1.260000,teleport_map,20,21,,,300-400,351-500,direct_hit
