ParticipantID,Location,Method,PathID,MethodOrder,RunID,TotalPathTime,BannerDelayTime,BannerCount,MeanBannerDelayTime,NetPathTime,TeleportCount_Base,TeleportCount_Map,TeleportCount_Tsunami,TotalTeleports,TotalTraversedDistance,MeanOrientationTime,MeanAimingTime,MeanHeadDelta,MeanPostLandingDirectionalError,MedianPostLandingDirectionalError,MeanReorientationImprovement,MeanLeftControllerDirectionalError,MeanRightControllerDirectionalError,MeanLeftControllerViewingAngle,MeanRightControllerViewingAngle,MeanNearestControllerViewingAngle,ControllerDirectedAttentionRate,MeanLeftControllerViewingAngleAtMapAim,MeanRightControllerViewingAngleAtMapAim,LeftControllerViewingRateAtMapAim15,LeftControllerViewingRateAtMapAim20,LeftControllerViewingRateAtMapAim25,RightControllerViewingRateAtMapAim15,RightControllerViewingRateAtMapAim20,RightControllerViewingRateAtMapAim25,MapAimSampleCount,DirectionalSampleCount,DirectionalRecoveredFromTeleportCount
P11,SITE1,map,B,3,10,34.18,10.37,6,1.73,23.82,0,7,0,7,2904.55,2.27,2.87,25.65,71.35,60.40,0.04,80.98,72.75,54.55,34.97,34.75,0.0000,54.55,34.97,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,6,6,0
P11,SITE1,map,C,3,11,35.96,12.99,6,2.17,22.97,0,7,0,7,2907.45,2.69,2.77,16.28,120.23,126.42,-3.54,124.87,123.13,59.60,22.88,22.88,0.5000,59.60,22.88,0.0000,0.0000,0.0000,0.1667,0.5000,0.5000,6,6,0
P11,SITE1,tsunami,A,2,6,42.98,9.80,6,1.63,33.18,0,0,15,15,3087.41,1.56,1.20,62.76,61.96,40.10,56.89,17.18,11.25,67.14,75.32,56.85,0.0000,,,,,,,,,0,14,0
P11,SITE1,tsunami,B,2,7,49.56,8.44,6,1.41,41.12,0,0,18,18,3008.48,1.38,1.16,59.42,64.37,49.40,54.88,38.06,6.88,75.74,63.78,52.81,0.0000,,,,,,,,,0,17,0
P11,SITE1,tsunami,C,2,5,46.15,10.97,6,1.83,35.18,0,0,19,19,3253.22,1.51,0.94,62.10,61.19,35.93,52.03,22.19,13.02,64.13,81.49,57.99,0.0000,,,,,,,,,0,18,0
P12,SITE1,baseline,A,1,2,101.07,24.44,6,4.07,76.63,32,0,0,32,3187.13,1.71,1.38,34.99,36.41,18.67,30.23,18.05,7.38,72.15,64.76,63.54,0.0000,,,,,,,,,0,31,0
P12,SITE1,baseline,B,1,3,67.88,15.30,6,2.55,52.59,27,0,0,27,2897.29,1.36,1.19,36.36,39.09,5.17,33.97,30.08,4.22,75.69,62.78,60.01,0.0000,,,,,,,,,0,26,0
P12,SITE1,baseline,C,1,1,116.61,29.35,6,4.89,87.25,32,0,0,32,3080.09,1.97,1.68,38.74,38.81,26.79,22.04,27.40,18.22,71.92,58.23,57.98,0.0000,,,,,,,,,0,31,0
P12,SITE1,map,A,3,11,35.84,9.86,6,1.64,25.98,0,8,0,8,2996.63,1.72,2.95,14.99,141.84,143.69,1.76,128.77,143.04,50.08,72.14,49.95,0.0000,50.08,72.14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,7,0
P12,SITE1,map,B,3,9,60.52,19.33,6,3.22,41.19,0,11,0,11,4219.07,2.80,2.79,31.58,100.32,106.10,21.93,101.60,76.60,52.95,60.38,50.28,0.0000,52.95,60.38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10,10,0
P12,SITE1,map,C,3,10,49.38,20.68,6,3.45,28.70,0,7,0,7,2909.53,3.90,3.67,43.43,67.98,64.12,13.97,42.92,60.48,45.29,49.83,40.92,0.3333,45.29,49.83,0.0000,0.3333,0.3333,0.0000,0.0000,0.0000,6,6,0
P12,SITE1,tsunami,A,2,5,62.14,16.03,6,2.67,46.11,0,0,14,14,3163.57,2.23,2.34,60.21,67.50,51.68,56.64,32.70,11.89,78.09,59.58,59.20,0.0000,,,,,,,,,0,13,0
P12,SITE1,tsunami,B,2,6,54.42,13.88,6,2.31,40.54,0,0,13,13,2935.33,1.87,2.14,33.27,56.40,43.97,28.98,50.98,27.61,73.03,59.21,58.13,0.0000,,,,,,,,,0,12,0
P12,SITE1,tsunami,C,2,7,50.58,10.24,6,1.71,40.34,0,0,13,13,3034.42,1.72,2.22,64.35,81.17,77.25,62.00,37.19,20.14,71.47,64.10,62.64,0.0000,,,,,,,,,0,12,0
P13,SITE1,baseline,A,2,7,77.88,19.73,6,3.29,58.14,40,0,0,40,3081.98,1.12,0.79,14.86,19.05,12.40,11.83,8.03,11.57,75.49,77.78,73.48,0.0000,,,,,,,,,0,39,0
P13,SITE1,baseline,B,2,5,69.41,13.99,6,2.33,55.42,35,0,0,35,2924.30,1.05,0.86,16.99,21.25,7.16,15.39,4.39,6.85,78.44,80.28,76.83,0.0000,,,,,,,,,0,34,0
P13,SITE1,baseline,C,2,6,76.77,14.07,6,2.34,62.70,37,0,0,37,2971.43,1.05,0.75,18.69,24.47,11.66,17.06,8.67,8.92,75.26,79.36,74.31,0.0000,,,,,,,,,0,36,0
P13,SITE1,map,A,1,1,71.09,36.37,6,6.06,34.72,0,7,0,7,2984.40,7.78,3.27,66.56,84.91,89.22,60.44,24.54,23.76,40.72,51.49,40.72,0.0000,40.72,51.49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P13,SITE1,map,B,1,2,74.23,47.63,6,7.94,26.61,0,6,0,6,2715.77,10.18,3.77,86.22,88.59,83.25,56.31,32.73,30.60,46.93,58.13,46.93,0.0000,46.93,58.13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,5,0
P13,SITE1,map,C,1,3,62.67,24.23,6,4.04,38.44,0,7,0,7,2887.50,3.66,4.46,63.64,76.42,62.80,15.47,62.55,67.83,45.38,56.08,45.38,0.0000,45.38,56.08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P13,SITE1,tsunami,A,3,10,86.47,14.06,6,2.34,72.41,0,0,17,17,3573.63,2.32,2.20,113.72,117.28,149.85,111.94,7.51,17.54,78.86,84.32,77.60,0.0000,,,,,,,,,0,16,0
P13,SITE1,tsunami,B,3,11,75.74,22.58,6,3.76,53.16,0,0,14,14,2943.50,2.87,1.77,48.80,49.56,30.46,45.36,6.11,12.34,77.12,80.54,75.25,0.0000,,,,,,,,,0,13,0
P13,SITE1,tsunami,C,3,9,73.58,22.84,6,3.81,50.74,0,0,13,13,3146.35,3.47,2.28,114.60,118.91,134.50,115.97,7.08,16.32,76.92,80.26,74.77,0.0000,,,,,,,,,0,12,0
P14,SITE1,baseline,A,2,6,69.37,13.63,6,2.27,55.74,34,0,0,34,3244.14,1.06,0.98,31.25,36.80,4.77,28.24,28.67,9.51,91.11,70.77,70.65,0.0000,,,,,,,,,0,33,0
P14,SITE1,baseline,B,2,7,52.16,11.66,6,1.94,40.50,29,0,0,29,2907.44,0.92,0.85,18.77,19.12,4.00,14.70,31.86,4.46,85.56,63.08,62.92,0.0000,,,,,,,,,0,28,0
P14,SITE1,baseline,C,2,5,57.93,12.04,6,2.01,45.89,38,0,0,38,2992.56,0.85,0.67,21.42,22.48,3.06,19.34,29.63,3.70,88.39,67.38,65.87,0.0000,,,,,,,,,0,37,0
P14,SITE1,map,A,1,3,50.81,26.70,6,4.45,24.11,0,9,0,9,2850.72,4.04,1.70,35.69,35.89,33.95,-13.92,52.20,55.16,47.45,52.48,40.49,0.1250,47.45,52.48,0.0000,0.1250,0.2500,0.0000,0.0000,0.0000,8,8,0
P14,SITE1,map,B,1,1,70.47,34.38,6,5.73,36.09,0,9,0,9,3429.02,5.82,2.61,46.07,46.63,52.98,30.11,22.30,23.33,26.80,51.76,26.80,0.1250,26.80,51.76,0.1250,0.1250,0.3750,0.0000,0.0000,0.0000,8,8,0
P14,SITE1,map,C,1,2,45.84,25.88,6,4.31,19.96,0,7,0,7,2692.53,4.80,2.34,51.77,115.16,120.26,-22.20,135.86,137.18,58.85,58.97,52.77,0.0000,58.85,58.97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P14,SITE1,tsunami,A,3,9,67.77,11.49,6,1.91,56.28,0,0,17,17,4283.74,1.81,1.95,98.93,110.12,123.81,95.85,63.19,6.70,101.72,68.27,67.67,0.0000,,,,,,,,,0,16,0
P14,SITE1,tsunami,B,3,10,39.89,8.58,6,1.43,31.32,0,0,16,16,2907.19,1.24,1.13,42.61,51.04,25.22,40.94,57.54,10.06,91.87,36.20,36.20,0.2000,,,,,,,,,0,15,0
P14,SITE1,tsunami,C,3,11,37.19,6.60,6,1.10,30.58,0,0,15,15,3136.70,1.25,1.28,64.58,73.96,54.46,57.78,68.59,12.75,94.27,39.32,39.08,0.1429,,,,,,,,,0,14,0
P15,SITE1,baseline,A,2,5,157.84,18.09,6,3.02,139.75,40,0,0,40,3191.39,2.11,1.85,32.19,34.56,9.91,25.79,38.65,10.54,62.01,60.19,54.56,0.0000,,,,,,,,,0,39,0
P15,SITE1,baseline,B,2,6,108.30,15.75,6,2.63,92.55,27,0,0,27,2952.60,1.86,2.15,34.89,37.08,6.07,34.33,56.38,3.61,81.57,60.00,60.00,0.0000,,,,,,,,,0,26,0
P15,SITE1,baseline,C,2,7,120.70,25.23,6,4.21,95.46,38,0,0,38,3025.08,2.00,1.06,35.15,37.47,6.71,31.12,58.37,7.28,86.19,58.79,58.79,0.0000,,,,,,,,,0,37,0
P15,SITE1,map,A,1,2,99.52,35.77,6,5.96,63.75,0,7,0,7,2957.92,8.68,6.32,57.59,55.49,50.02,52.34,6.88,6.07,36.28,61.92,36.28,0.0000,36.28,61.92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P15,SITE1,map,B,1,3,78.98,21.37,6,3.56,57.61,0,7,0,7,2879.96,5.55,6.27,62.69,60.67,53.26,58.79,9.76,4.68,42.50,64.05,42.50,0.0000,42.50,64.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P15,SITE1,map,C,1,1,141.25,25.70,6,4.28,115.56,0,7,0,7,2891.40,7.64,8.59,62.46,61.12,82.90,59.28,7.49,8.12,27.14,59.64,27.14,0.1667,27.14,59.64,0.0000,0.1667,0.5000,0.0000,0.0000,0.0000,6,6,0
P15,SITE1,tsunami,A,3,11,89.44,16.61,6,2.77,72.83,0,0,14,14,3189.91,2.94,3.39,74.71,78.50,61.70,69.72,101.49,9.51,88.58,67.43,67.43,0.0000,,,,,,,,,0,13,0
P15,SITE1,tsunami,B,3,9,94.79,19.07,6,3.18,75.73,0,0,14,14,2967.22,3.12,3.42,69.41,66.38,44.73,64.07,58.88,2.62,81.82,71.59,71.57,0.0000,,,,,,,,,0,13,0
P15,SITE1,tsunami,C,3,10,83.38,20.46,6,3.41,62.92,0,0,12,12,2989.00,3.50,2.89,67.88,67.65,65.32,64.71,75.61,5.36,84.38,71.23,71.23,0.0000,,,,,,,,,0,11,0
P16,SITE1,baseline,A,3,10,63.98,8.99,6,1.50,54.99,37,0,0,37,3343.29,0.62,0.82,23.02,34.61,5.03,20.85,51.53,15.54,92.90,59.09,59.00,0.0000,,,,,,,,,0,36,0
P16,SITE1,baseline,B,3,11,47.62,5.89,6,0.98,41.73,43,0,0,43,2904.38,0.45,0.61,9.95,19.74,5.27,5.68,80.39,13.48,96.11,43.66,43.66,0.1429,,,,,,,,,0,42,0
P16,SITE1,baseline,C,3,9,56.87,7.12,6,1.19,49.75,30,0,0,30,2919.30,0.69,1.09,13.64,28.36,4.62,9.92,72.49,17.20,94.28,57.05,57.02,0.0000,,,,,,,,,0,29,0
P16,SITE1,map,A,2,7,36.41,13.12,6,2.19,23.29,0,7,0,7,3005.53,2.66,2.82,30.67,106.59,121.38,-1.65,113.03,105.10,45.71,54.89,44.73,0.0000,45.71,54.89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P16,SITE1,map,B,2,5,64.88,17.90,6,2.98,46.97,0,10,0,10,2895.03,2.73,3.29,23.54,45.81,30.59,-7.37,60.47,52.40,35.55,46.39,34.31,0.0000,35.55,46.39,0.0000,0.0000,0.2222,0.0000,0.0000,0.0000,9,9,0
P16,SITE1,map,C,2,6,56.11,11.32,6,1.89,44.79,0,7,0,7,2888.35,2.58,3.41,32.24,57.08,40.73,15.31,45.13,42.58,28.52,52.23,28.52,0.1667,28.52,52.23,0.1667,0.1667,0.5000,0.0000,0.0000,0.0000,6,6,0
P16,SITE1,tsunami,A,1,1,55.92,13.42,6,2.24,42.49,0,0,16,16,3994.73,1.93,1.61,86.20,93.44,81.70,84.56,64.24,10.47,90.14,55.95,55.95,0.0000,,,,,,,,,0,15,0
P16,SITE1,tsunami,B,1,2,39.42,8.55,6,1.43,30.87,0,0,15,15,2895.69,1.34,1.32,30.90,32.31,8.25,22.87,52.41,7.82,89.17,59.60,59.60,0.0000,,,,,,,,,0,14,0
P16,SITE1,tsunami,C,1,3,44.18,7.82,6,1.30,36.36,0,0,14,14,3018.08,1.37,1.29,54.37,80.50,94.83,47.76,67.84,30.19,86.50,57.01,57.01,0.0000,,,,,,,,,0,13,0
P17,SITE1,baseline,A,3,9,86.02,13.54,6,2.26,72.47,37,0,0,37,3074.19,0.94,1.19,18.34,27.64,6.24,13.47,30.19,15.42,81.44,73.30,71.84,0.0000,,,,,,,,,0,36,0
P17,SITE1,baseline,B,3,10,66.18,14.61,6,2.43,51.57,32,0,0,32,2906.21,0.95,1.11,12.18,24.76,3.09,9.97,52.81,15.23,85.46,67.91,66.89,0.0000,,,,,,,,,0,31,0
P17,SITE1,baseline,C,3,11,60.98,12.88,6,2.15,48.10,31,0,0,31,2963.06,0.91,1.07,11.58,24.27,4.91,9.07,33.14,16.11,79.95,70.93,70.33,0.0000,,,,,,,,,0,30,0
P17,SITE1,map,A,2,6,58.37,28.88,6,4.81,29.50,0,7,0,7,3007.71,5.81,3.31,35.10,69.08,74.03,28.39,35.20,42.65,38.49,44.95,38.14,0.0000,38.49,44.95,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,6,6,0
P17,SITE1,map,B,2,7,49.34,22.18,6,3.70,27.16,0,7,0,7,2861.51,4.88,2.82,21.56,81.06,91.27,6.10,88.88,77.62,43.45,54.89,42.49,0.0000,43.45,54.89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P17,SITE1,map,C,2,5,63.62,26.87,6,4.48,36.75,0,7,0,7,2905.80,5.95,3.92,42.77,92.00,95.56,13.20,85.89,71.91,39.82,48.50,37.55,0.0000,39.82,48.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P17,SITE1,tsunami,A,1,3,63.74,17.13,6,2.85,46.62,0,0,16,16,3397.00,2.10,1.42,59.84,76.13,51.56,59.04,44.26,15.78,76.36,62.65,62.40,0.0000,,,,,,,,,0,15,0
P17,SITE1,tsunami,B,1,1,63.34,24.28,6,4.05,39.06,0,0,15,15,2909.20,2.86,1.40,29.20,36.53,8.13,23.71,37.76,13.28,75.38,63.81,63.66,0.0000,,,,,,,,,0,14,0
P17,SITE1,tsunami,C,1,2,66.83,22.14,6,3.69,44.69,0,0,17,17,3208.20,2.48,1.43,48.53,57.73,47.06,47.37,27.30,10.48,79.38,62.72,62.72,0.0000,,,,,,,,,0,16,0
P18,SITE1,baseline,A,3,11,81.86,11.34,6,1.89,70.52,28,0,0,28,3120.22,1.24,1.71,24.80,29.91,15.79,22.08,51.64,6.42,85.35,79.47,78.62,0.0000,,,,,,,,,0,27,0
P18,SITE1,baseline,B,3,9,92.23,14.72,6,2.45,77.51,26,0,0,26,3008.20,1.51,2.08,23.48,39.85,14.43,21.36,34.43,15.97,92.74,77.00,76.24,0.0000,,,,,,,,,0,25,0
P18,SITE1,baseline,C,3,10,96.92,13.71,6,2.29,83.21,29,0,0,29,3133.02,1.52,1.73,36.59,41.14,17.55,23.75,41.21,18.77,87.69,72.78,72.43,0.0000,,,,,,,,,0,28,0
P18,SITE1,map,A,2,5,62.27,19.95,6,3.33,42.32,0,7,0,7,2990.10,5.15,4.40,39.76,63.27,49.72,39.75,25.41,24.34,60.13,77.64,60.13,0.0000,60.13,77.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P18,SITE1,map,B,2,6,49.86,14.72,6,2.45,35.14,0,7,0,7,2895.87,3.90,3.66,34.33,69.60,74.81,21.48,64.61,56.23,59.46,81.38,59.46,0.0000,59.46,81.38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P18,SITE1,map,C,2,7,57.48,23.77,6,3.96,33.70,0,7,0,7,2891.61,5.15,3.73,33.89,131.57,137.19,11.83,126.48,120.50,53.97,70.87,53.97,0.0000,53.97,70.87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P18,SITE1,tsunami,A,1,2,110.74,17.04,6,2.84,93.70,0,0,18,18,3305.58,2.83,2.66,74.50,93.38,61.65,74.41,62.24,18.23,103.86,76.61,76.61,0.0000,,,,,,,,,0,17,0
