ParticipantUID,ParticipantID,Location,Method,MethodOrder,SourceFile,Run,Trial,Distance,HoldTime,CompletionTime,AimingRatio,AimingSpeed,LandingPos_x,LandingPos_z,AimingError,RecommendedExclude,RepeatedFailureGroup,RepeatedFailureTrialExclude,DecisionReason
SITE1_P09,P09,SITE1,map,3,P09_precision_map_8.csv,8,7,50,6.527,7.806,0.8362,7.6605,82.400,-4.200,4.258,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,map,3,P09_precision_map_8.csv,8,8,100,4.042,5.584,0.7239,24.7402,30.200,-2.300,2.746,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,map,3,P09_precision_map_8.csv,8,9,200,3.152,4.485,0.7028,63.4518,-67.300,0.100,1.005,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,1,50,12.690,12.690,1.0000,3.9401,81.500,-0.100,0.224,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,2,100,3.871,8.737,0.4431,25.8331,32.700,0.000,1.000,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,3,200,3.660,8.624,0.4244,54.6448,-67.400,-0.100,0.906,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,4,50,2.539,5.746,0.4419,19.6928,82.000,-0.300,0.424,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,5,100,2.601,5.254,0.4951,38.4468,31.300,0.200,0.447,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,6,200,4.506,7.413,0.6079,44.3853,-69.000,0.300,0.762,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,7,50,2.392,4.724,0.5064,20.9030,83.800,0.000,2.100,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,8,100,3.465,5.582,0.6207,28.8600,32.200,0.000,0.500,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P09,P09,SITE1,tsunami,1,P09_precision_tsunami_0.csv,0,9,200,4.852,7.879,0.6158,41.2201,-66.000,-0.400,2.335,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,1,50,3.585,3.585,1.0000,13.9470,82.200,-0.100,0.510,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,2,100,2.653,6.319,0.4198,37.6932,34.100,0.200,2.408,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,3,200,4.722,7.278,0.6488,42.3549,-67.400,-0.100,0.906,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,4,50,2.653,5.180,0.5122,18.8466,82.900,0.000,1.200,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,5,100,1.626,3.931,0.4136,61.5006,33.900,0.000,2.200,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,6,200,4.028,6.431,0.6263,49.6524,-69.300,0.000,1.000,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,7,50,2.194,4.985,0.4401,22.7894,83.700,0.000,2.000,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,8,100,3.333,5.347,0.6233,30.0030,32.800,0.200,1.118,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,baseline,1,P10_precision_baseline_0.csv,0,9,200,4.125,6.862,0.6011,48.4848,-67.400,-0.300,0.949,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,1,50,4.820,4.821,0.9998,10.3734,77.700,1.000,4.123,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,2,100,3.417,5.736,0.5957,29.2654,28.600,-1.200,3.324,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,3,200,3.042,5.124,0.5937,65.7462,-72.000,1.900,4.159,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,4,50,2.973,5.057,0.5879,16.8180,79.800,1.600,2.484,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,5,100,3.055,5.110,0.5978,32.7332,30.100,3.700,4.031,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,6,200,2.374,4.361,0.5444,84.2460,-70.900,0.300,2.617,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,7,50,2.626,4.626,0.5677,19.0404,71.900,6.900,11.985,false,false,false,Retain: not an upper-IQR candidate.
